Unnamed: 0,ID,Name,Age,Email,Join Date,Salary,Department
0,1e407ff9-6255-489d-a0de-34135d4f74bd,Hunter Thomas,25.0,xlopez@hotmail.com,2022-03-31,88552.0,Sales
4,14ed3e6a-e0f5-4bbe-8d93-8665267f5c90,Julia Lee,71.0,figueroakayla@yahoo.com,2022-03-31,143456.0,Marketing
8,12cc2f16-d641-402e-b22b-3332bafc4f1d,Elizabeth Williams,71.0,andrew74@hotmail.com,2022-02-12,83354.0,Sales
12,da63d159-e9b0-4b92-b0fe-4e87df3aebc1,Amber Marsh,23.0,robert43@gmail.com,2023-09-08,112970.0,Engineering
13,5ca27087-5c90-4d42-94d0-7e9ee3f422b9,Patrick Mooney,57.0,bowersjasmine@hotmail.com,2023-06-24,41511.139645951946,SalesA
18,05e36d3f-6422-4329-80b2-1fd3543ee254,Elizabeth Williams,54.16264995136712,fwilliams@yahoo.com,2022-03-31,89886.58501184534,Support
19,a8b6e8e3-f2f2-42c6-b2d7-2bbfd9b91125,Elizabeth Williams,54.16264995136712,fwilliams@yahoo.com,2022-03-31,89886.58501184534,Support
22,88e92fab-a06c-4c53-a59a-699bf8a583b5,Curtis Parkerlot,36.0,daniellewilliams@gmail.com,2023-12-08,89886.58501184534,HR
24,3f741e1f-f781-463e-a12a-871d3866c711,Elizabeth Williams,54.16264995136712,fwilliams@yahoo.com,2022-03-31,89886.58501184534,Support
25,58d4c7cd-aa32-4429-a96e-e881c676852c,Sharon Mcclure,25.0,mcmahonchristina@hotmail.com,2024-06-09,89208.0,Marketing
26,ea358a83-5e3b-41dd-b00b-9cbb2bb85b45,Lori Hernandez,83.0,elizabeth22@yahoo.com,2021-05-29,52075.0,Engineering
27,2f99edc1-c0e7-4963-8b33-09465a2ac68f,Christina Norriscompare,84.0,haleygary@yahoo.com,2021-07-17,92668.0,Engineering
30,754d31ea-7749-4d29-b0f1-a8fb908d541c,Elizabeth Williams,54.16264995136712,fwilliams@yahoo.com,2022-03-31,89886.58501184534,Support
34,ace748f5-03e6-4187-8a02-c81906eb9667,Elizabeth Williams,18.0,jeremyarmstrong@hotmail.com,2022-03-31,35900.0,Engineering
35,6f5313d3-eeb9-4acb-bd8a-47797d747c5a,Ryan DanielsTV,35.0,hward@yahoo.com,2023-01-14,108317.0,Salesw
36,3fc48575-3616-4fa9-a554-610f92c8c681,Veronica Schmidt,40.0,steven75@yahoo.com,2020-03-13,65482.0,Engineering
37,de98cc3c-0802-4824-929f-73eee22aa40b,Richard Brooks,56.0,lukewalker@gmail.com,1997-11-04,116303.0,Sales
